id,color,size
ceddisss,red,25.0
blvckbvrnez,red,22.585571991120794
dandrael,red,18.821197993993152
vellrus,white,17.9714305679479
axel_reisen,green,17.859180831461998
dyadya_danilo,blue,17.576499692142278
linalucker,red,16.604069350306897
evgeniyleet,red,16.124101339359743
justreyb,blue,15.91805676977835
cybernytik,white,15.500199751176499
seeoma,blue,13.91624848265458
pandadrummer,white,13.82323536089298
chlore,white,12.341147015771503
roman_dmt,white,12.048675965459486
n14t0,red,11.533810129567128
jetviolett,white,11.186446953107007
ne_cott3r,white,10.565454305053377
juliam7,white,10.449902458349733
xseix,white,10.091555142146525
teemok,white,9.940021684234397
ruriir_,red,9.92856344217304
l3rva_,white,9.60218300216121
maxisolo,white,9.578444565345858
reactistov,white,9.570518668609704
fahafatesanat_t,white,9.186164819409882
prosto_oleja,white,9.144766840296164
truephotoonelove,white,9.065589879539646
hellknight719,white,9.027842637675212
kiraschmidtq,white,8.964577368825108
l3rra,white,8.862413606873181
mintywrinkles3,white,8.810887509672947
addict_v4,green,8.606107141791133
poill,white,8.450388026300693
vaicel_nick,white,8.157961217654313
chevapchi4i,white,7.96974761989474
retabokainrou,white,7.9411308394477285
wtwrite,white,7.820767238210652
sbermarketeda,white,7.811058026226175
strandedorange,white,7.693591815706887
janzepp,white,7.604301459038938
oxhof,white,7.082434543820966
memerald_,white,7.02865673806347
jijle,white,6.908872251269475
4rib,white,6.881357716422654
dcayorcus,white,6.708249182224882
moonofmays,white,6.6742257210279226
mister_mojo_risin,white,6.147471317052049
t1tnnox,white,5.933908290969267
megumeme217,white,5.712366551376928
otismatus,white,4.896946744766395
camissado,white,4.195906791483446
marlenbrando,white,3.963391853937506
v0id_mg,white,3.8170904755956405
11maxlaiter,white,3.736721675224978
jujabanda,white,3.6958819607372155
ezhevika_,white,3.4953830646059587
pink4donald,white,3.4074348045923566
sanin_fanat,white,3.3962811419181724
relysed,white,3.2941992079356504
hhj0gd,white,3.176930105554791
happy_sand,white,3.164964224597496
nemar1na,white,3.116641322415628
yobreek,white,3.116641322415628
deadkafka,white,3.0427183597892435
vladislavkosmach,white,2.9797152974750456
tmooor,white,2.7270611571136745
leychick,white,2.71311190370759
sobakapovodyr,white,2.5546479842549714
glebiy0071,white,2.524768032564832
