id,color,size
ceddisss,green,25.0
blvckbvrnez,green,22.585571991120794
dandrael,yellow,18.821197993993152
vellrus,green,17.9714305679479
axel_reisen,red,17.859180831461998
dyadya_danilo,yellow,17.576499692142278
linalucker,yellow,16.604069350306897
evgeniyleet,yellow,16.124101339359743
justreyb,yellow,15.91805676977835
cybernytik,green,15.500199751176499
seeoma,green,13.91624848265458
pandadrummer,white,13.82323536089298
chlore,white,12.341147015771503
roman_dmt,red,12.048675965459486
n14t0,green,11.533810129567128
jetviolett,white,11.186446953107007
ne_cott3r,white,10.565454305053377
juliam7,white,10.449902458349733
xseix,white,10.091555142146525
teemok,red,9.940021684234397
ruriir_,white,9.92856344217304
l3rva_,green,9.60218300216121
maxisolo,green,9.578444565345858
reactistov,white,9.570518668609704
fahafatesanat_t,white,9.186164819409882
prosto_oleja,white,9.144766840296164
truephotoonelove,white,9.065589879539646
hellknight719,white,9.027842637675212
kiraschmidtq,white,8.964577368825108
l3rra,white,8.862413606873181
mintywrinkles3,white,8.810887509672947
addict_v4,white,8.606107141791133
poill,red,8.450388026300693
vaicel_nick,white,8.157961217654313
chevapchi4i,white,7.96974761989474
retabokainrou,green,7.9411308394477285
wtwrite,white,7.820767238210652
sbermarketeda,white,7.811058026226175
strandedorange,white,7.693591815706887
janzepp,red,7.604301459038938
oxhof,white,7.082434543820966
memerald_,white,7.02865673806347
jijle,white,6.908872251269475
4rib,white,6.881357716422654
dcayorcus,white,6.708249182224882
moonofmays,white,6.6742257210279226
mister_mojo_risin,white,6.147471317052049
t1tnnox,white,5.933908290969267
megumeme217,white,5.712366551376928
otismatus,white,4.896946744766395
camissado,white,4.195906791483446
marlenbrando,white,3.963391853937506
v0id_mg,white,3.8170904755956405
11maxlaiter,white,3.736721675224978
jujabanda,white,3.6958819607372155
ezhevika_,white,3.4953830646059587
pink4donald,white,3.4074348045923566
sanin_fanat,white,3.3962811419181724
relysed,white,3.2941992079356504
hhj0gd,white,3.176930105554791
happy_sand,white,3.164964224597496
nemar1na,white,3.116641322415628
yobreek,white,3.116641322415628
deadkafka,white,3.0427183597892435
vladislavkosmach,white,2.9797152974750456
tmooor,white,2.7270611571136745
leychick,white,2.71311190370759
sobakapovodyr,white,2.5546479842549714
glebiy0071,white,2.524768032564832
iamhere13666,white,2.463921307158144
rb934h,white,2.3856815472472754
jusrlynx,white,2.2882653537747895
kaorysil,white,2.2882653537747895
korgalum,white,2.2882653537747895
s1iska,white,2.254858227048735
sadankorch,white,2.254858227048735
ahkind,white,2.186513254864001
pam_cake222,white,2.169090560833646
ernest671,white,2.169090560833646
tinynyanta,white,2.1515267854477833
ia_sluha_daute_vrot,white,2.097953395741723
freakebaniy,white,2.0614644662248067
andiya,white,2.0054866461067453
karrp_,white,1.9864768649833637
kalemon_kak,white,1.888559920183204
bog_mamok,white,1.888559920183204
qutmij,white,1.8479409803686078
imher3,white,1.7852805967496106
titannnox,white,1.7638992194942138
princessnekomom,white,1.742255464601546
shmulke02,white,1.7203394291056635
yabedaras,white,1.7203394291056635
dariamilk,white,1.675647649757819
blams_pams,white,1.6528486602047248
streamelements,white,1.582482112298748
waxmant73,white,1.5088374922271985
4eptula_oboccahka,white,1.4834770727423168
tezian2101,white,1.4576755032426674
virusfur_mh,white,1.431408928348365
ultionesx,white,1.431408928348365
banshiva,white,1.431408928348365
mishk397,white,1.4046512618999303
wendy_levitar,white,1.3773738835039373
llllsedoyllll,white,1.3773738835039373
s3nderell,white,1.3773738835039373
fckthwht,white,1.3773738835039373
ksushiroyama,white,1.3495452798481304
graybasalt,white,1.3211306179791689
vdaline,white,1.3211306179791689
lesuanbao,white,1.262384016282416
inhumanwaif78,white,1.231960653579072
handehoch27,white,1.1687404959058605
ne_razdevaisya_ya_po_delu,white,1.1687404959058605
vosvoia,white,1.1687404959058605
ars_kit,white,1.1358116015307858
vagrchannel,white,1.1018991068031498
the_glist,white,1.1018991068031498
ludachyo,white,1.1018991068031498
palnasral,white,1.0669092224623569
ilya_agent_001,white,1.0307322331124034
kak_vsegda_banapart,white,1.0307322331124034
soundalerts,white,0.9932384324916819
anasteysharask,white,0.9542726188989101
nikamar2,white,0.9542726188989101
shadtruelegend,white,0.9542726188989101
evermooon,white,0.9136464735234497
superloh15yo,white,0.871127732300773
batyara_ich,white,0.871127732300773
poliesterr,white,0.871127732300773
ludmila_mikhailovna1983,white,0.871127732300773
leksus24,white,0.8264243301023624
grulf,white,0.8264243301023624
tthesunbeam,white,0.8264243301023624
motobard,white,0.8264243301023624
mamoru_45,white,0.8264243301023624
swaaagdog,white,0.779160330603907
jimijacket,white,0.779160330603907
palkasupilozhka,white,0.779160330603907
pusshikairu,white,0.779160330603907
okusari,white,0.779160330603907
kenkakumightypootinolison,white,0.7288377516213337
aniki_cc,white,0.7288377516213337
jjesus___,white,0.7288377516213337
elliottadderley,white,0.7288377516213337
fedorconkisto,white,0.5509495534015749
my_last_try,white,0.5509495534015749
cloudnebesnyi,white,0.5509495534015749
staciemadlon,white,0.47713630944945506
aokigaharayuurei,white,0.47713630944945506
hqhx,white,0.47713630944945506
slipiclaikasa,white,0.3895801653019535
inmigewazhong,white,0.3895801653019535
fell_lovee,white,0.3895801653019535
mega_krutoy_nikolay,white,0.3895801653019535
yayohann,white,0.3895801653019535
love_you89,white,0.3895801653019535
