source,target,value
ceddisss,blvckbvrnez,36
ceddisss,dandrael,9
ceddisss,vellrus,2
ceddisss,dyadya_danilo,9
ceddisss,linalucker,11
ceddisss,evgeniyleet,33
ceddisss,justreyb,6
ceddisss,seeoma,3
ceddisss,roman_dmt,1
ceddisss,jetviolett,2
ceddisss,juliam7,8
ceddisss,xseix,3
ceddisss,teemok,4
ceddisss,ruriir_,10
ceddisss,l3rva_,8
ceddisss,maxisolo,2
ceddisss,reactistov,6
ceddisss,prosto_oleja,1
ceddisss,hellknight719,2
ceddisss,l3rra,6
ceddisss,addict_v4,1
ceddisss,poill,6
ceddisss,retabokainrou,1
ceddisss,wtwrite,1
ceddisss,janzepp,1
ceddisss,oxhof,1
ceddisss,memerald_,2
ceddisss,dcayorcus,1
ceddisss,moonofmays,3
ceddisss,mister_mojo_risin,1
ceddisss,t1tnnox,4
ceddisss,megumeme217,1
ceddisss,ezhevika_,1
ceddisss,nemar1na,1
ceddisss,leychick,3
ceddisss,andiya,1
ceddisss,karrp_,1
ceddisss,ne_razdevaisya_ya_po_delu,1
ceddisss,poliesterr,3
ceddisss,ludmila_mikhailovna1983,8
blvckbvrnez,ceddisss,6
blvckbvrnez,linalucker,2
blvckbvrnez,teemok,1
blvckbvrnez,wtwrite,1
blvckbvrnez,nemar1na,1
blvckbvrnez,ludmila_mikhailovna1983,2
dandrael,ceddisss,20
dandrael,blvckbvrnez,12
dandrael,dandrael,26
dandrael,vellrus,2
dandrael,axel_reisen,13
dandrael,dyadya_danilo,25
dandrael,linalucker,23
dandrael,evgeniyleet,20
dandrael,justreyb,20
dandrael,cybernytik,13
dandrael,seeoma,9
dandrael,pandadrummer,9
dandrael,chlore,3
dandrael,roman_dmt,4
dandrael,n14t0,14
dandrael,ne_cott3r,2
dandrael,juliam7,5
dandrael,xseix,4
dandrael,teemok,5
dandrael,ruriir_,3
dandrael,l3rva_,7
dandrael,maxisolo,1
dandrael,reactistov,6
dandrael,fahafatesanat_t,1
